Topic Number,Title,Branch Number,Turn Number,Raw Utterance,Manual Utterance,Information Need
149,Search Engine Bias,2,1,"Yes, racially.","Yes, in what ways can search engines be biased racially?",Racial Search Engine Bias
149,Search Engine Bias,2,3,But how does that happen?,But how are search engines racist?,Racial Search Engine Bias
149,Search Engine Bias,2,5,Are algorithms really biased against people of colour?,Are algorithms really biased against people of colour,Racial Search Engine Bias
149,Search Engine Bias,2,7,"In terms of their ranking though, how does it work?","In terms of their ranking though, how do search engines rank items?",How search engines work
149,Search Engine Bias,3,1,How do you get impartial results?,How do you get impartial results from search engines?,getting impartion results from a search engine
149,Search Engine Bias,3,3,"Um, what is search neutrality?","Um, what is search neutrality?",search neutrality
149,Search Engine Bias,3,5,"No, I want to know how to get unbiased results.","No, I want to know how to get unbiased results from a search engine.",Getting unbiased results from a search engine
149,Search Engine Bias,3,7,"Yes, what alternatives are there?","Yes, what alternative search engines are there?",alternative search engines
149,Search Engine Bias,3,9,I’ve never heard of ecosia. What does that do?,I’ve never heard of the ecosia search engine. What does that do?,overview of the ecosia search engine
149,Search Engine Bias,4,1,"No, how can i get less biased search results?","No, how can i get less biased search results from a search engine?",reducing search engine bias
